Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJNA183864,SRR633542 & SRR633543,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633542/SRR633542_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633542/SRR633542_2.fastq.gz
,PRJNA183864,SRR633550 & SRR633551,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633550/SRR633550_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633550/SRR633550_2.fastq.gz
,PRJNA183864,SRR633552 & SRR633553	,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633552/SRR633552_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633552/SRR633552_2.fastq.gz
,PRJNA183864,SRR633554 & SRR633555,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633554/SRR633554_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633554/SRR633554_2.fastq.gz
,PRJNA183864,SRR633544 & SRR633545,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633544/SRR633544_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633544/SRR633544_2.fastq.gz
,PRJNA183864,SRR633546 & SRR633547,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633546/SRR633546_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633546/SRR633546_2.fastq.gz
,PRJNA183864,SRR633548 &SRR633549,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633548/SRR633548_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633548/SRR633548_2.fastq.gz
Natalie VanderNoot,PRJNA242641,GSM1357159,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/001/SRR1205151/SRR1205151.fastq.gz,
,PRJNA242641,GSM1357160,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/002/SRR1205152/SRR1205152.fastq.gz,
,PRJNA242641,GSM1357161,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/003/SRR1205153/SRR1205153.fastq.gz,
,PRJNA242641,GSM1357162,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/004/SRR1205154/SRR1205154.fastq.gz,
,PRJNA242641,GSM1357163,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/005/SRR1205155/SRR1205155.fastq.gz,
,PRJNA242641,GSM1357164,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/006/SRR1205156/SRR1205156.fastq.gz,
 ,PRJNA242641,GSM1357165,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/007/SRR1205157/SRR1205157.fastq.gz,
,PRJNA242641,GSM1357166,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/008/SRR1205158/SRR1205158.fastq.gz,
,PRJNA242641,GSM1357167,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/009/SRR1205159/SRR1205159.fastq.gz,
,PRJNA242641,GSM1357168,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/000/SRR1205160/SRR1205160.fastq.gz,
,PRJNA242641,GSM1357169,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/001/SRR1205161/SRR1205161.fastq.gz,
,PRJNA242641,GSM1357170,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/002/SRR1205162/SRR1205162.fastq.gz,
,PRJNA242641,GSM1357171,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/003/SRR1205163/SRR1205163.fastq.gz,
,PRJNA242641,GSM1357172,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/004/SRR1205164/SRR1205164.fastq.gz,
,PRJNA242641,GSM1357173,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/005/SRR1205165/SRR1205165.fastq.gz,
,PRJNA242641,GSM1357174,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/006/SRR1205166/SRR1205166.fastq.gz,
,PRJNA242641,GSM1357175,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/007/SRR1205167/SRR1205167.fastq.gz,
,PRJNA242641,GSM1357176,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/008/SRR1205168/SRR1205168.fastq.gz,
,PRJNA242641,GSM1357177,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/009/SRR1205169/SRR1205169.fastq.gz,
,PRJNA242641,GSM1357178,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/000/SRR1205170/SRR1205170.fastq.gz,
,PRJNA242641,GSM1357179,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/001/SRR1205171/SRR1205171.fastq.gz,
,PRJNA242641,GSM1357180,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/002/SRR1205172/SRR1205172.fastq.gz,
,PRJNA242641,GSM1357181,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/003/SRR1205173/SRR1205173.fastq.gz,
