"This sheet reports the previously-filtered control samples by strain (e.g., AB-type zebrafish are grouped together).",,,,,,
Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJNA229539,SRR1035982,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/002/SRR1035982/SRR1035982.fastq.gz,
,PRJNA229539,SRR1035981,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR1035981/SRR1035981.fastq.gz,
,PRJNA290839,SRS1010312,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/003/SRR2125733/SRR2125733_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/003/SRR2125733/SRR2125733_2.fastq.gz
Alejandro Schmieder,PRJNA257195,SRX667854,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/009/SRR1534349/SRR1534349_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/009/SRR1534349/SRR1534349_2.fastq.gz
,PRJNA229539,SRR1035980,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR1035980/SRR1035980.fastq.gz,
,PRJNA229539,SRR1035979,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR1035979/SRR1035979.fastq.gz,
,PRJNA229539,SRR1035978,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/008/SRR1035978/SRR1035978.fastq.gz,
,PRJNA438111,GSM3039487,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6829414/SRR6829414_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6829414/SRR6829414_2.fastq.gz
,PRJNA438111,GSM3039488,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6829415/SRR6829415_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6829415/SRR6829415_2.fastq.gz
,PRJNA438111,GSM3039489,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6829416/SRR6829416_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6829416/SRR6829416_2.fastq.gz
Alejandro Schmieder,PRJEB4784,ERS362586,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358529/ERR358529.fastq.gz,
,PRJEB4784,ERS362585,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358528/ERR358528.fastq.gz,
,PRJEB4784,ERS362584,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358527/ERR358527.fastq.gz,
,PRJEB4784,ERS362583,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358526/ERR358526.fastq.gz,
,PRJEB4784,ERS362582,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358525/ERR358525.fastq.gz,
,PRJEB4784,ERS362581,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/ERR358524/ERR358524.fastq.gz,
